"Certificate Title","Link","State"
"Students Apply for Scholarship on National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=OTMw","Pan India"
"Chief Minister Scholarship Portal, Goa","https://services.india.gov.in/service/service_url_redirect?id=MjMwOA==","Pan India"
"RTE Online Application in Rajasthan","https://services.india.gov.in/service/service_url_redirect?id=MTczNTk=","Pan India"
"Renewal of Pre-Matric and Post-Matric Scholarship","https://services.india.gov.in/service/service_url_redirect?id=MTg1OTU=","Pan India"
"One-Time Registration - OTR for National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=MjQ1Njc=","Pan India"
"Login for Fresh Application by National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=MTg1OTQ=","Pan India"
"Registration for All India Pre-Medical Scholarship Test","https://services.india.gov.in/service/service_url_redirect?id=MTc5","Pan India"
"Student Scholarships by Indian Institute of Management Indore","https://services.india.gov.in/service/service_url_redirect?id=MzAw","Pan India"
"Apply for Scholarships and Fellowship with University Grants Commission","https://services.india.gov.in/service/service_url_redirect?id=ODcz","Pan India"
"Application for Financial Support to the On Campus Students by Goa University","https://services.india.gov.in/service/service_url_redirect?id=MjI4Ng==","Pan India"
"Check Status of Previous Year Scholarship Applications","https://services.india.gov.in/service/service_url_redirect?id=MjQ1NzA=","Pan India"
"Track Your Scholarship Payments on the National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=MjQ1Njk=","Pan India"
"Apply for Scholarships through the National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=MjQ1Njg=","Pan India"
"National Scholarship Portal","https://services.india.gov.in/service/service_url_redirect?id=MjE3ODA=","Pan India"
"Apply for Scholarships for Transgender","https://services.india.gov.in/service/service_url_redirect?id=MjQ1Mzc=","Pan India"
"Registration for All India Pre-Medical Scholarship Entrance Test","https://services.india.gov.in/service/service_url_redirect?id=NTI3Nw==","Pan India"
"Apply Online Scholarships for Meritorious Students belonging to the Minority Communities","https://services.india.gov.in/service/service_url_redirect?id=NTY2Mw==","Pan India"
"Apply Online for Partial Funding of Foreign Study under the Plan Scheme of DFFT","https://services.india.gov.in/service/service_url_redirect?id=NQ==","Pan India"
